show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2042,Movie,Jeff Garcia: Low Budget Madness,Jeff Garcia,Jeff Garcia,,,2014,18+,58 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Shot live at San Manuel Indian Bingo and Casino in Highland, CA, Jeff Garcia's Low Budget Madness is packed with hilarious sketches that will leave you in stitches and remind you why audiences all over the world can't get a enough of Jeff Garcia!"
s2043,Movie,Jeff Garcia: Livin' the Dream,Steve Race,Jeff Garcia,,,2008,18+,58 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Famed Latino comedian and voiceover artist, Jeff Garcia, comes to you from San Manuel Indian Bingo and Casino with his signature improv style. He comments on his family, unreliable cars, white people, marriage and his run-ins with the law."
s2044,Movie,Jeff Dunham: Minding The Monsters,"Manny Rodriguez, Matthew McNeil",Jeff Dunham,,,2012,18+,80 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Enter the ultimate haunted house where Walter transforms into something grumpier than he already is! Watch Bubba J rise from the dead! Meet Peanut's alter ego, The Purple Avenger of the Night, and his spicy sidekick! And witness Achmed literally dressed to kill in an outfit that would terrify the most terrifying terrorist!"
s2045,Movie,Jeff Dunham: Controlled Chaos,"Michael Simon, Matthew McNeil",Jeff Dunham,,,2011,18+,97 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Ventriloquist and comic Jeff Dunham takes to the stage to provide fresh comedic material with his classic puppets; Walter, Peanut, Jose Jalapeño and Achmed, as well as with two never-before-seen characters with their own unique quirks."
s2046,Movie,Jeff Dunham: All Over The Map,Rob Dipple,Jeff Dunham,,,2014,18+,84 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","In this documentary/stand-up special, Jeff takes his friends in the suitcase all around the world, performing in places such as Iceland, Norway, Abu Dhabi, United Arab Emirates, London, and Israel."
s2047,Movie,Jeff Dunham: Achmed Saves America,Frank Marino,Jeff Dunham,,,2014,16+,61 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Achmed is having a very bad day. As if accidentally blowing himself up until he's a talking skeleton isn't bad enough, the world's most incompetent terrorist finds himself whisked away from his homeland by a bald eagle and taken to - Americaville, USA."
s2048,TV Show,Jean Claude Van Johnson,,"Moises Arias, Jean-Claude Van Damme, Kat Foster, Phylicia Rashad",United States,,2017,16+,1 Season,"Action, Comedy","What if I told you that Jean-Claude Van Damme - yes, THAT Jean-Claude Van Damme - was, in fact, a secret agent? That his entire film career was built solely as a front for his black ops? Would you believe me? No? Well then that’s egg on your face because that’s what this show is about."
s2049,Movie,Jayhawkers,Kevin Willmott,"Justin Wesley, Kip Nivens",,,2015,18+,106 min,Drama,"From Academy-award winning screenwriter Kevin Willmott, a film about gifted young basketball phenom Wilt Chamberlain and legendary coach Phog Allen, who together re-invented college sports at the University of Kansas in the 1950s, paralleling the Civil Rights movement that would transform an entire nation."
s2050,TV Show,Jayde Adams: Serious Black Jumper,,Jayde Adams,,,2020,16+,1 Season,"Arts, Entertainment, and Culture, Comedy","Proud Bristolian and multi-award-winning comedian, Jayde Adams brings her latest stand-up show to the screen. If you want to be a ‘successful independent woman person’ you better have something to say and you better be wearing the feminist wardrobe staple; the Serious Black Jumper™."
s2051,Movie,Jay Pharoah: Can I Be Me?,Ryan Polito,Jay Pharoah,,,2015,18+,63 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Jay Pharoah, Saturday Night Live cast member for four years and counting, brings you his latest and greatest special, Can I Be Me. This special includes some of Pharoah's greatest celebrity impressions including Chris Rock, Dave Chappelle, Bernie Mac, Jay-Z, Kanye West, Katt Williams, Barack Obama, and many more!"
s2052,Movie,Jay Mohr: American Treasure,Sam Macaroni,Jay Mohr,,,2020,18+,64 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Comedian Jay Mohr tells stories from his life and gives us a wall of his famous celebrity impressions. This extremely personal look into his interesting life is full of great stories and hilarious observations.
s2053,Movie,Jaws of Justice,Spencer Gordon Bennet,"Kazan the Wonder Dog, Jack Perrin, Ruth Sullivan, Gene Toler, Robert Walker",,,1933,ALL,54 min,"Action, Western","Filmed in beautiful Lake Tahoe, California, a mountie comes to the aid of a woman and her mute friend, who are being terrorized because of a treasure hidden on their land. Kazan the dog is the only one to recognize the murderer of the woman's father. After they learn the secret of the whereaouts of the gold, thanks to an Edgar Allan Poe novel, the villain escapes but Kazan tracks him down. A great mountie and hero dog actionier!"
